AUM ($BB) of Equity funds reporting sector allocations, by region					
	Emerging Markets	Japan	United Kingdom	Eurozone	United States
2006	113	0	1	24	0
2007	141	0	5	42	0
2008	128	0	4	25	0
2009	175	11	32	23	26
2010	256	11	34	23	28
2011	307	15	53	54	111
2012	249	12	50	52	129
2013	316	59	81	103	1,158
2014	438	113	103	177	1,546
2015	408	185	105	220	1,788
2016	416	186	91	182	2,332
2017	584	260	105	257	3,134
2018	687	317	156	276	3,878
2019	746	364	127	241	4,624
2020	738	406	103	219	5,165
2021	967	603	144	283	7,178
2022	770	504	123	190	6,559
