AUM ($BB) of Equity funds				
	All Funds	All Funds	Cross-border	Cross-border
	Monthly Flows	Daily Flows	Daily Flows	Daily Flows & Ctry Alloc
2007	6,241	2,717	1,173	446
2008	5,798	2,743	1,116	355
2009	4,794	2,273	887	303
2010	5,889	2,840	1,143	362
2011	7,595	3,932	1,601	449
2012	7,945	4,107	1,502	359
2013	10,109	5,525	1,964	606
2014	12,488	6,879	2,556	850
2015	13,561	7,575	2,755	927
2016	13,748	7,672	2,833	964
2017	16,148	9,385	3,656	1,326
2018	18,459	10,845	4,203	1,560
2019	19,075	11,096	4,063	1,718
2020	20,245	12,247	4,516	1,809
2021	28,451	17,390	6,494	2,611
2022	25,406	15,694	5,479	2,258
