Assets ($BB) held in each region by active cross-border equity funds reporting flows daily					
	EM	Japan	UK	Eurozone	US
2007	337	87	137	332	137
2008	316	73	111	238	110
2009	247	45	80	163	86
2010	367	83	135	220	123
2011	457	80	143	278	186
2012	408	76	145	230	197
2013	508	113	182	331	287
2014	606	123	245	472	389
2015	586	142	274	505	422
2016	561	141	253	496	483
2017	728	176	290	732	578
2018	780	212	336	856	678
2019	726	177	272	754	709
2020	740	215	240	795	863
2021	983	261	324	1,008	1,328
2022	700	217	287	753	1,149
