AUM ($BB) Funds reporting Daily-flow reporters used in:					
	Monthly Flows	Daily Flows	Multi Asset	7-Region Equity	Fixed Income
2007	9,467	4,332	2,497	1,196	1,301
2008	10,071	5,361	3,399	1,190	2,209
2009	10,488	6,142	4,317	927	3,389
2010	12,538	7,114	4,570	1,093	3,477
2011	15,269	8,931	5,319	1,453	3,866
2012	16,977	9,645	5,725	1,605	4,120
2013	20,095	12,142	7,030	2,134	4,896
2014	23,740	14,584	8,189	2,549	5,640
2015	25,321	15,767	8,496	2,715	5,781
2016	26,284	16,467	8,683	2,606	6,078
2017	30,076	19,240	9,598	2,917	6,681
2018	33,397	21,523	10,283	3,224	7,059
2019	35,570	22,777	10,953	3,224	7,729
2020	39,799	26,843	13,339	3,387	9,952
2021	50,476	33,766	15,165	4,507	10,658
2022	45,930	31,410	14,372	3,884	10,488
